times 0, TL: 0.0004, VL: 0.0093, TA: 100.00, VA: 100.00
times 1, TL: 0.0002, VL: 0.0160, TA: 100.00, VA: 98.97
times 2, TL: 0.0124, VL: 0.0312, TA: 100.00, VA: 100.00
times 3, TL: 0.0041, VL: 0.0102, TA: 100.00, VA: 100.00
times 4, TL: 0.0009, VL: 0.0044, TA: 100.00, VA: 100.00
times 5, TL: 0.0017, VL: 0.0084, TA: 100.00, VA: 100.00
times 6, TL: 0.0016, VL: 0.0081, TA: 100.00, VA: 100.00
times 7, TL: 0.0000, VL: 0.0072, TA: 100.00, VA: 99.74
times 8, TL: 0.0005, VL: 0.0059, TA: 100.00, VA: 100.00
times 9, TL: 0.0006, VL: 0.0130, TA: 100.00, VA: 99.23
times 10, TL: 0.0020, VL: 0.0105, TA: 100.00, VA: 100.00
times 11, TL: 0.0017, VL: 0.0096, TA: 100.00, VA: 100.00
times 12, TL: 0.0039, VL: 0.0134, TA: 100.00, VA: 100.00
times 13, TL: 0.0028, VL: 0.0086, TA: 100.00, VA: 100.00
times 14, TL: 0.0014, VL: 0.0140, TA: 100.00, VA: 99.49
times 15, TL: 0.0012, VL: 0.0043, TA: 100.00, VA: 100.00
times 16, TL: 0.0031, VL: 0.0062, TA: 100.00, VA: 100.00
times 17, TL: 0.0001, VL: 0.0148, TA: 100.00, VA: 99.49
times 18, TL: 0.0008, VL: 0.0063, TA: 100.00, VA: 100.00
times 19, TL: 0.0055, VL: 0.0149, TA: 100.00, VA: 100.00
times 20, TL: 0.0000, VL: 0.0061, TA: 100.00, VA: 99.74
times 21, TL: 0.0119, VL: 0.0260, TA: 100.00, VA: 100.00
times 22, TL: 0.0000, VL: 0.0074, TA: 100.00, VA: 99.74
times 23, TL: 0.0150, VL: 0.0242, TA: 100.00, VA: 100.00
times 24, TL: 0.0001, VL: 0.0057, TA: 100.00, VA: 99.49
times 25, TL: 0.0020, VL: 0.0101, TA: 100.00, VA: 100.00
times 26, TL: 0.0126, VL: 0.0846, TA: 99.57, VA: 96.92
times 27, TL: 0.0033, VL: 0.0236, TA: 100.00, VA: 100.00
times 28, TL: 0.0022, VL: 0.0308, TA: 100.00, VA: 99.49
times 29, TL: 0.0003, VL: 0.0118, TA: 100.00, VA: 99.23
times 30, TL: 0.0002, VL: 0.0126, TA: 100.00, VA: 99.23
times 31, TL: 0.0010, VL: 0.0062, TA: 100.00, VA: 100.00
times 32, TL: 0.0001, VL: 0.0052, TA: 100.00, VA: 100.00
times 33, TL: 0.0003, VL: 0.0031, TA: 100.00, VA: 100.00
times 34, TL: 0.0030, VL: 0.0138, TA: 100.00, VA: 100.00
times 35, TL: 0.0048, VL: 0.0118, TA: 100.00, VA: 100.00
times 36, TL: 0.0001, VL: 0.0056, TA: 100.00, VA: 100.00
times 37, TL: 0.0001, VL: 0.0074, TA: 100.00, VA: 100.00
times 38, TL: 0.0024, VL: 0.0085, TA: 100.00, VA: 100.00
times 39, TL: 0.0005, VL: 0.0122, TA: 100.00, VA: 99.49
times 40, TL: 0.0048, VL: 0.0137, TA: 100.00, VA: 100.00
times 41, TL: 0.0002, VL: 0.0094, TA: 100.00, VA: 98.97
times 42, TL: 0.0212, VL: 0.0373, TA: 100.00, VA: 100.00
times 43, TL: 0.0013, VL: 0.0089, TA: 100.00, VA: 100.00
times 44, TL: 0.0044, VL: 0.0135, TA: 100.00, VA: 100.00
times 45, TL: 0.0141, VL: 0.0224, TA: 100.00, VA: 100.00
times 46, TL: 0.0002, VL: 0.0273, TA: 100.00, VA: 98.72
times 47, TL: 0.0001, VL: 0.0181, TA: 100.00, VA: 99.23
times 48, TL: 0.0001, VL: 0.0198, TA: 100.00, VA: 99.74
times 49, TL: 0.0021, VL: 0.0069, TA: 100.00, VA: 100.00
